alteredValue,value,numPaths,residents,personsPerBuilding,sprawl,areaPerResident,floors,elongation,heightParameter,manhattanDistance,averageDistance,area,ellipseArea
undefined,1.5,1000000,2000000,11.38,21.200566295347787,38,3,1.5,1.2,true,9.31382312008946,193792183,193793202
sprawl,0,1000000,2000000,11.38,0,38,3,1.5,1.2,true,3.36747891491736,25333200,25333333
sprawl,0.6060606060606061,1000000,2000000,11.38,0.6060606060606061,38,3,1.5,1.2,true,3.5374670615872943,27955360,27955507
sprawl,1.2121212121212122,1000000,2000000,11.38,1.2121212121212122,38,3,1.5,1.2,true,3.707455208253747,30706627,30706788
sprawl,1.8181818181818183,1000000,2000000,11.38,1.8181818181818183,38,3,1.5,1.2,true,3.8774433549211738,33586999,33587176
sprawl,2.4242424242424243,1000000,2000000,11.38,2.4242424242424243,38,3,1.5,1.2,true,4.047431501587502,36596479,36596671
sprawl,3.0303030303030303,1000000,2000000,11.38,3.0303030303030303,38,3,1.5,1.2,true,4.217419648253631,39735064,39735273
sprawl,3.6363636363636362,1000000,2000000,11.38,3.6363636363636362,38,3,1.5,1.2,true,4.387407794920449,43002756,43002982
sprawl,4.242424242424242,1000000,2000000,11.38,4.242424242424242,38,3,1.5,1.2,true,4.557395941586648,46399554,46399798
sprawl,4.848484848484849,1000000,2000000,11.38,4.848484848484849,38,3,1.5,1.2,true,4.727384088254188,49925458,49925721
sprawl,5.454545454545455,1000000,2000000,11.38,5.454545454545455,38,3,1.5,1.2,true,4.89737223492008,53580469,53580751
sprawl,6.060606060606061,1000000,2000000,11.38,6.060606060606061,38,3,1.5,1.2,true,5.067360381585569,57364586,57364888
sprawl,6.666666666666668,1000000,2000000,11.38,6.666666666666668,38,3,1.5,1.2,true,5.237348528200905,61277810,61278132
sprawl,7.272727272727274,1000000,2000000,11.38,7.272727272727274,38,3,1.5,1.2,true,5.407336674921092,65320140,65320483
